Country;Country Abbreviation;Deaths;Country Risk Index;Short Term Political Risk;Long Term Political Risk;Short Term Economic Risk;Long Term Economic Risk;Operational Risk Index;Long-Term Issuer Default Rating Index;Unemployment (% of labour force);Population growth;GDP per head at market exchange rates (USD);Population % above 65 years old (2018);Women in Parliament%;Universal Health Care Coverage;Income Level
Czechia;CZE;1;74,8;74,8;88,8;70,4;76,7;69;85;0,0227;0,0005;23038,75;0,194208769;0,253729639;2;4
Israel;ISR;1;69,5;69,5;69,2;75,4;77,5;67,1;80;0,043;0,0156;43732,92;0,11976986;0,233333333;1;4
Kuwait;KWT;1;62,4;62,4;66,4;59,8;61,1;54,7;90;0,021;0,0326;33297,59;0,025504724;0,046153846;2;4
Norway;NOR;1;83,6;83,6;97,3;78,3;80,5;76,2;100;0,037;0,009;74737,52;0,170492222;0,408284024;2;4
Germany;DEU;2;76,5;76,5;87,2;70,4;79,2;72;100;0,034;0,0024;48045,12;0,21461962;0,308885755;2;4
Iceland;ISL;2;74,8;74,8;90,2;60,2;72,1;71,6;75;0,03;0,0157;74185,47;0,147950926;0,380952381;2;4
Malaysia;MYS;2;68,6;68,6;65,2;71,3;68,4;69,6;70;0,0335;0,0153;11172,56;0,066717546;0,144144144;1;3
Namibia;NAM;2;51,5;51,5;64,5;35,4;41,4;50,2;45;0,2328;0,0221;5617,94;0,036360317;0,427083333;1;3
New_Zealand;NZL;2;79,3;79,3;85,8;75;77,5;76,8;90;0,0427;0,0192;41517,47;0,156524245;0,408333333;2;4
South_Africa;ZAF;2;55,3;55,3;61,3;44,4;56,2;52,3;45;0,2712;0,0168;6379,93;0,05318005;0,463476071;1;3
Austria;AUT;3;78,7;78,7;89,5;70;77,3;74,4;95;0,0485;0,0086;51162,88;0,190015665;0,393442623;2;4
Chile;CHL;3;66;66;77,2;59,2;65,9;64,9;75;0,0694;0,0088;16338,45;0,115298017;0,225806452;2;4
Qatar;QAT;3;63,1;63,1;70,6;42,1;51,9;66,5;85;0,0012;0,0364;71085,5;0,013700703;0,097560976;1;4
Saudi_Arabia;SAU;3;62,1;62,1;56,7;55,8;62,7;62,3;75;0,127;0,026;23418,07;0,03314088;0,198675497;1;4
Denmark;DNK;4;80,9;80,9;92,7;70,2;76,3;79,1;100;0,0536;0,0041;61158,57;0,198129526;0,391061453;2;4
Maldives;MDV;4;49,9;49,9;57,8;45,4;43,8;45,7;30;0,0607;0,0239;11906,95;0,037033446;0,045977011;1;3
Oman;OMN;4;61,3;61,3;72,8;38,3;45,7;64,9;45;0,0323;0,0546;16367,38;0,02392787;0,023255814;2;4
Russia;RUS;4;63,8;63,8;61,7;69,2;70,1;58,1;60;0,048;0,0044;11291,76;0,146747083;0,253729639;2;3
Singapore;SGP;4;79,1;79,1;81,1;63,8;69,4;83,3;100;0,021;0,0136;62953,32;0,114633802;0,23;2;4
Thailand;THA;4;65,1;65,1;58,9;69;70,2;61,1;65;0,0107;0,0032;7443,18;0,119008931;0,162;2;3
Uzbekistan;UZB;4;51;51;56,8;45;46,7;44,2;40;0,058;0,0152;1559,64;0,044191379;0,16;1;2
Belgium;BEL;5;70,1;70,1;80,2;61,5;70,5;71,4;85;0,0535;0,0056;45946,24;0,187887437;0,42;2;4
Spain;ESP;5;67,9;67,9;74,9;60,6;64,5;71,6;70;0,153;-0,0002;30414,37;0,193785075;0,44;2;4
Bahrain;BHR;6;56,9;56,9;56,5;37,1;44,2;65;40;0,0375;0,0306;24825,93;0,024263339;0,15;2;4
Ireland;IRL;6;79,2;79,2;87,6;81,3;78,1;73,4;80;0,05;0,0108;79442,71;0,138658017;0,221518987;2;4
Portugal;PRT;6;70,3;70,3;79,8;62,1;63,1;70,3;60;0,07;-0,0043;23108,79;0,219538575;0,386956522;2;4
Australia;AUS;7;74,7;74,7;85,4;69,6;74,3;72,4;100;0,053;0,0155;56734,78;0,156564752;0,304635762;2;4
Finland;FIN;7;77,2;77,2;91,8;71,3;73,2;74,2;95;0,0735;0,0033;49553,57;0,217207875;0,47;2;4
Switzerland;CHE;7;80,7;80,7;90,2;71,3;73,9;78,3;100;0,023;0,0094;82162,71;0,186232166;0,415;2;4
Zambia;ZMB;7;43,9;43,9;52,2;35,6;42;39,7;20;0,077;0,0273;1582,78;0,02099678;0,179640719;1;2
Cape_Verde;CPV;8;52,4;52,4;75,5;32,7;42,8;42,6;30;0,122;0,0124;3590,15;0,046093272;0,253729639;2;2
Ethiopia;ETH;8;42,2;42,2;41,7;44,8;48,8;34,9;30;0,16;0,0254;779,28;0,03501133;0,387568556;1;1
Luxembourg;LUX;8;79,1;79,1;87,9;75,4;72,8;72,9;100;0,052;0,0209;114386,34;0,141831542;0,25;2;4
Pakistan;PAK;8;44,8;44,8;52,3;42,1;49,6;39,2;25;0,061;0,0194;1565,68;0,043127743;0,202346041;1;2
Gabon;GAB;9;47,1;47,1;63,1;45,6;48,7;31,4;20;0,19;0,0267;8127,37;0,035639075;0,179104478;1;3
Jordan;JOR;9;55,3;55,3;71,2;41;48,2;56,7;40;0,186;0,031;4308,28;0,038464904;0,153846154;2;3
Malta;MLT;9;74,9;74,9;82,1;77,1;77,4;65,5;80;0,036;0,0042;33670,56;0,203493243;0,149253731;1;4
Slovakia;SVK;9;69,6;69,6;80,3;67,3;71,4;63,3;80;0,0655;0,0009;19535,4;0,156292465;0,253729639;2;4
Sri_Lanka;LKA;9;54,6;54,6;63,6;50;54,6;50,1;30;0,0445;-0,0027;4239,1;0,111917835;0,053333333;1;3
United_Kingdom;GBR;9;78,6;78,6;82,7;72,1;76,5;76,5;85;0,041;0,0072;42949,71;0,183958657;0,32;2;4
Costa_Rica;CRI;10;60,1;60,1;71,8;52,3;58,4;56,5;35;0,12;0,0106;12114,69;0,095498477;0,456140351;2;3
Sweden;SWE;10;81,5;81,5;93,7;75,2;79,6;77,8;100;0,0632;0,0074;55213,17;0,200955249;0,47277937;2;4
Azerbaijan;AZE;11;56,6;56,6;51,3;52,7;50;60,7;50;0,0493;0,0116;4721,98;0,061951828;0,168067227;2;3
Paraguay;PRY;11;52,1;52,1;61,1;53,5;55,9;42;50;0,0461;0,0131;5868,13;0,06430215;0,15;1;3
Armenia;ARM;13;53,2;53,2;61,5;41,5;45,1;56,1;40;0,163;0,0029;4234,58;0,112538177;0,234848485;2;3
Belarus;BLR;13;51,8;51,8;56,2;38,1;39,5;59;30;0,0041;-0,0002;6301,23;0,148451482;0,4;2;3
Estonia;EST;13;77,3;77,3;83,3;80,2;77,6;71,2;85;0,044;0,0006;23787,53;0,196263568;0,297029703;2;4
Jamaica;JAM;13;54,1;54,1;64,2;44,6;47,9;48,9;35;0,091;0,0033;5420,25;0,087966426;0,174603175;1;3
Benin;BEN;14;49,4;49,4;65,1;41,7;50,1;36;30;0,01;0,028;907,2;0,032536053;0,072289157;1;2
Kazakhstan;KAZ;14;61,6;61,6;70;53,5;55,8;59,9;60;0,049;0,014;9664,29;0,073918463;0,271028037;1;3
Poland;POL;14;70,9;70,9;75,6;72,7;70,1;68,6;70;0,038;-0,0017;15540,97;0,175178168;0,286956522;1;4
Georgia;GEO;15;56,1;56,1;57,9;44,8;50,1;61,9;45;0,138;-0,0032;4363,45;0,148654914;0,147651007;1;3
Colombia;COL;17;57,9;57,9;61,7;58,3;61,2;52,1;55;0,099;0,0139;6432,38;0,08478047;0,187134503;2;3
Romania;ROU;17;64,7;64,7;70,6;58,3;69,4;63,6;55;0,0418;-0,0051;12301,13;0,183387014;0,218844985;2;4
Brazil;BRA;18;57,1;57,1;68,9;51,9;61;50;40;0,1225;0,0083;8857,55;0,089228378;0,150097466;2;3
Canada;CAN;18;79,5;79,5;92,3;68,5;73,1;75,9;100;0,058;0,0094;46341,05;0,172320067;0,289940828;2;4
Cyprus;CYP;19;62,7;62,7;72,3;57,9;61,7;62,2;55;0,0841;-0,0013;28713,71;0,137190618;0,178571429;2;4
France;FRA;19;73,7;73,7;80,6;67,5;75,6;71,5;90;0,091;0,0041;42625,78;0,200346247;0,396880416;2;4
Latvia;LVA;19;69,8;69,8;77,3;62,9;72,9;66,6;70;0,074;-0,0112;18073,73;0,200436203;0,3;2;4
El_Salvador;SLV;20;48,1;48,1;60,4;43,1;53,3;43,2;25;0,0455;0,005;4065,27;0,0828709;0,30952381;2;2
Netherlands;NLD;20;79,6;79,6;86,5;70,8;78,1;78,3;100;0,0384;0,0047;53197,51;0,191961926;0,313333333;2;4
Suriname;SUR;20;40,9;40,9;56,4;26,7;31;42,7;20;0,0765;0,0144;5854,77;0,069063699;0,31372549;1;3
Lithuania;LTU;23;72,4;72,4;79,4;71,9;74,5;69;75;0,062;-0,0099;18680,62;0,197050332;0,212765957;1;4
Serbia;SRB;23;55,5;55,5;62,4;45;51,8;58,1;50;0,127;-0,005;7229,53;0,183457927;0,376518219;2;3
Vietnam;VNM;25;63,2;63,2;59,7;65,4;64,6;53,4;45;0,0221;0,0108;2538,66;0,072749783;0,267206478;2;2
Guatemala;GTM;26;50,1;50,1;48,9;61,3;64,5;41,4;40;0,0267;0,0205;4545,02;0,048120725;0,19375;1;3
Lebanon;LBN;26;46,4;46,4;53,9;42,3;54,1;44,3;5;0,0669;0,0057;12341,6;0,070023681;0,046875;1;3
Panama;PAN;26;61,2;61,2;69;56,9;60,7;56,6;60;0,06;0,0161;15642;0,081047311;0,211267606;2;4
Ecuador;ECU;27;49,9;49,9;53,1;49,8;55,2;46,1;15;0,058;0,0173;6207,1;0,071572897;0,379562044;2;3
Ukraine;UKR;27;49,4;49,4;42,6;53,1;47,4;48,7;30;0,083;-0,004;3657,51;0,164346864;0,205188679;2;2
Mexico;MEX;28;58,7;58,7;58,3;59,4;65,3;52,2;60;0,0337;0,0132;9339,88;0,07223685;0,482;1;3
India;IND;29;61,9;61,9;65,5;66;66,6;53,8;55;0,065;0,0115;2010,92;0,061799556;0,143911439;1;2
Italy;ITA;29;65,9;65,9;75,3;60,6;67;63,7;60;0,106;-0,001;34931,48;0,227516796;0,357142857;2;4
Lesotho;LSO;30;39,4;39,4;53,6;32,3;32;38,2;30;0,2458;0,0134;1162,59;0,049010875;0,233333333;1;3
Peru;PER;30;58,8;58,8;62,2;65,4;66,6;49,3;65;0,054;0,0106;7087,24;0,080883928;0,3;1;3
Slovenia;SVN;30;73,5;73,5;82,2;74;77,1;68,6;75;0,051;0,0015;25940,52;0,196068797;0,277777778;2;4
Turkey;TUR;30;55,5;55,5;55,3;48,5;58,4;56,1;40;0,137;0,0159;9142,39;0,084832129;0,174496644;2;3
Argentina;ARG;31;52,8;52,8;61,6;45;53,6;49,3;5;0,092;0,01;11594,02;0,111177889;0,401574803;2;3
Uruguay;URY;31;62,5;62,5;75,3;57,3;62,5;55,2;55;0,0836;0,0035;17180,61;0,148145195;0,191919192;2;4
Greece;GRC;32;58,2;58,2;66,8;49,8;53,8;57,9;45;0,193;-0,0045;20268,64;0,216552721;0,206666667;2;4
Nigeria;NGA;32;44,3;44,3;45,8;43,8;54,4;38,4;30;0,2256;0,0267;1819,25;0,02747377;0,033802817;1;2
Japan;JPN;35;74,2;74,2;87,3;62,5;68,9;70,3;75;0,024;-0,0012;39293,18;0,275763699;0,101075269;2;4
China;CHN;41;68,3;68,3;66,4;71,7;74,4;58,8;80;0,0471;0,0047;9440,41;0,109208835;0,249411765;1;3
Democratic_Republic_of_the_Congo;COD;41;56;56;62,7;54;54,4;47,5;40;0,0587;-0,0003;8334,44;0,030178406;0,253729639;1;1
Tunisia;TUN;42;49;49;68,6;33,8;42,6;46,2;35;0,1545;0,0115;3438,77;0,083156791;0,225806452;2;2
Bangladesh;BGD;46;54,1;54,1;58,9;66;63;38,1;40;0,0438;0,0109;1723,14;0,051583906;0,206303725;1;2
Nicaragua;NIC;46;45,2;45,2;44,8;43,3;45,1;39,8;25;0,0545;0,0104;2030,5;0,052474974;0,445652174;1;2
Angola;AGO;47;44,6;44,6;55,9;39,8;37,7;33,2;25;0,0817;0,0346;3484,56;0,022163736;0,3;1;2
Bulgaria;BGR;49;64,7;64,7;72;62,9;65,5;61,4;60;0,041;-0,0069;9754,49;0,210219144;0,258333333;2;3
Kenya;KEN;50;49,4;49,4;58,9;47,9;52,7;43,7;35;0,1152;0,028;1915,32;0,023391866;0,217765043;1;2
Iraq;IRQ;64;36,2;36,2;36,7;46,7;44,8;26,9;25;0,13;0,0299;5633,49;0,033235997;0,252279635;1;3
Philippines;PHL;68;61,4;61,4;64,2;70,4;73,5;47,8;60;0,0532;0,0159;3104,26;0,051225688;0,279605263;1;2
Morocco;MAR;70;56,8;56,8;69,2;42,5;51,3;53,5;55;0,098;0,0132;3264,98;0,070129048;0,205063291;1;2
Egypt;EGY;71;52,9;52,9;55,6;54,2;54,5;48,1;35;0,0985;0,0207;2856,24;0,052297793;0,253729639;1;2
Hungary;HUN;77;67,7;67,7;70,2;65,2;71;63,2;60;0,033;-0,0024;16438,63;0,191577254;0,125628141;2;4
Indonesia;IDN;87;62,2;62,2;63,2;65,4;66,1;54,4;60;0,053;0,0115;3902,26;0,058571656;0,173913043;1;3
